Well,Sample ,Experiment,Dose,Ct,Strain
A1,,,,19.9903,
A2,,,,Undetermined,
A3,,,,Undetermined,
A4,,,,Undetermined,
A5,FCK1,FCK,0.0123,15.5439,JU1580
A6,FCK2,FCK,0.0123,14.2667,JU1580
A7,FCK3,FCK,0.0123,14.8468,JU1580
A8,FCK4,FCK,0.0123,14.2065,JU1580
A9,FCK5,FCK,0.0041,13.3479,JU1580
A10,FCK6,FCK,0.0041,14.9597,JU1580
A11,FCK7,FCK,0.0041,14.084,JU1580
A12,FCK8,FCK,0.0041,16.0629,JU1580
B1,FCK9,FCK,0.00137,13.9734,JU1580
B2,FCK10,FCK,0.00137,17.6112,JU1580
B3,FCK11,FCK,0.00137,21.2851,JU1580
B4,FCK12,FCK,0.00137,12.2563,JU1580
B5,FCK13,FCK,0.00046,21.7486,JU1580
B6,FCK14,FCK,0.00046,14.1517,JU1580
B7,FCK15,FCK,0.00046,12.4384,JU1580
B8,FCK16,FCK,0.00046,22.2733,JU1580
B9,FCK17,FCK,0.000152,16.6477,JU1580
B10,FCK18,FCK,0.000152,21.3775,JU1580
B11,FCK19,FCK,0.000152,Undetermined,JU1580
B12,FCK20,FCK,0.000152,38.5561,JU1580
C1,FCK21,FCK,0.0000508,Undetermined,JU1580
C2,FCK22,FCK,0.0000508,Undetermined,JU1580
C3,FCK23,FCK,0.0000508,Undetermined,JU1580
C4,FCK24,FCK,0.0000508,Undetermined,JU1580
C5,FCK25,FCK,0.0000159,Undetermined,JU1580
C6,FCK26,FCK,0.0000159,Undetermined,JU1580
C7,FCK27,FCK,0.0000159,Undetermined,JU1580
C8,FCK28,FCK,0.0000159,Undetermined,JU1580
C9,FCK29,FCK,0.00000565,Undetermined,JU1580
C10,FCK30,FCK,0.00000565,Undetermined,JU1580
C11,FCK31,FCK,0.00000565,Undetermined,JU1580
C12,FCK32,FCK,0.00000565,Undetermined,JU1580
D1,FCK33,FCK,0.0123,Undetermined,AF16
D2,FCK34,FCK,0.0123,Undetermined,AF16
D3,FCK35,FCK,0.0041,Undetermined,AF16
D4,FCK36,FCK,0.0041,Undetermined,AF16
D5,FCK37,FCK,0.00137,Undetermined,AF16
D6,FCK38,FCK,0.00137,Undetermined,AF16
D7,FCK39,FCK,0.00046,Undetermined,AF16
D8,FCK40,FCK,0.00046,Undetermined,AF16
D9,FCK41,FCK,0.000152,Undetermined,AF16
D10,FCK42,FCK,0.000152,Undetermined,AF16
D11,FCK43,FCK,0.0000508,Undetermined,AF16
D12,FCK44,FCK,0.0000508,Undetermined,AF16
E1,FCK45,FCK,0.0000159,Undetermined,AF16
E2,FCK46,FCK,0.0000159,Undetermined,AF16
E3,FCK47,FCK,0.00000565,Undetermined,AF16
E4,FCK48,FCK,0.00000565,Undetermined,AF16
E5,GAA7.8BA,GAA,,13.874,
E6,GAA7.8BB,GAA,,11.9395,
E7,GAA12.8AA,GAA,,10.6341,
E8,GAA12.8AB,GAA,,13.3937,
E9,GAA42.8,GAA,,10.6646,
E10,GAA43.8,GAA,,Undetermined,
E11,GAA44.8,GAA,,Undetermined,
E12,GAA45.8,GAA,,Undetermined,
F1,GAA46.8,GAA,,Undetermined,
F2,GAA7.9BA,GAA,,14.0136,
F3,GAA7.9BB,GAA,,13.3194,
F4,GAA12.9AA,GAA,,11.4901,
F5,GAA12.9AB,GAA,,13.0175,
F6,GAA42.9,GAA,,11.7033,
F7,GAA43.9,GAA,,Undetermined,
F8,GAA44.9,GAA,,Undetermined,
F9,GAA45.9,GAA,,35.062,
F10,GAA46.9,GAA,,Undetermined,
F11,FCH9.3,FCH,,Undetermined,
F12,FCH11.3,FCH,,Undetermined,
G1,FCH13.3,FCH,,Undetermined,
G2,FCH14.3,FCH,,Undetermined,
G3,FCH15.3,FCH,,Undetermined,
G4,FCH16.3,FCH,,Undetermined,
G5,FCH19.3,FCH,,Undetermined,
G6,FCH20.3,FCH,,Undetermined,
G7,FCH21.3,FCH,,Undetermined,
G8,FCH22.3,FCH,,Undetermined,
G9,FCH9.4,FCH,,35.4243,
G10,FCH11.4,FCH,,Undetermined,
G11,FCH13.4,FCH,,36,
G12,FCH14.4,FCH,,Undetermined,
H1,FCH19.4,FCH,,34.5352,
H2,FCH20.4,FCH,,39.6185,
