"Sample","Passage","Group","Strain","Species","Start.date","Extraction.date","Days.on.plate","X","Ct","block","Species.full"
"FBR7",0,"FBR7","JU3325","latens","4/16/2021 10:55","4/25/2021 6:50","8.829861111",NA,23.4534,1,"C. latens"
"FBR8",0,"FBR8","JU3325","latens","4/16/2021 10:55","4/27/2021 13:55","11.125",NA,36,1,"C. latens"
"FBR9",0,"FBR9","JU3325","latens","4/16/2021 10:55","4/27/2021 13:55","11.125",NA,34.8168,1,"C. latens"
"FBR10",0,"FBR10","NIC564","waitukubuli","4/16/2021 10:55","4/20/2021 11:00","4.003472222",NA,Inf,1,"C. waitukubuli"
"FBR11",0,"FBR11","NIC564","waitukubuli","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,35.0499,1,"C. waitukubuli"
"FBR12",0,"FBR12","NIC564","waitukubuli","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,35.0321,1,"C. waitukubuli"
"FBR13",0,"FBR13","JU4096","sp.66","4/16/2021 10:55","4/20/2021 12:10","4.052083333",NA,33.7502,1,"C. sp. 66"
"FBR14",0,"FBR14","JU4096","sp.66","4/16/2021 10:55","4/20/2021 11:00","4.003472222",NA,33.6376,1,"C. sp. 66"
"FBR15",0,"FBR15","JU4096","sp.66","4/16/2021 10:55","4/20/2021 12:10","4.052083333",NA,Inf,1,"C. sp. 66"
"FBR16",0,"FBR16","JU4094","sp.66","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,13.7481,1,"C. sp. 66"
"FBR17",0,"FBR17","JU4094","sp.66","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,14.2237,1,"C. sp. 66"
"FBR18",0,"FBR18","JU4094","sp.66","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,16.5885,1,"C. sp. 66"
"FBR19",0,"FBR19","JU1428","tropicalis","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,19.1369,1,"C. tropicalis"
"FBR20",0,"FBR20","JU1428","tropicalis","4/16/2021 10:55","4/20/2021 12:10","4.052083333",NA,22.7039,1,"C. tropicalis"
"FBR21",0,"FBR21","JU1428","tropicalis","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,18.8518,1,"C. tropicalis"
"FBR22",0,"FBR22","VX80","latens","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,18.5781,1,"C. latens"
"FBR23",0,"FBR23","VX80","latens","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,19.545,1,"C. latens"
"FBR24",0,"FBR24","VX80","latens","4/16/2021 10:55","4/21/2021 11:30","5.024305556",NA,18.8373,1,"C. latens"
"FBR25",0,"FBR25","JU1873","wallacei","4/16/2021 10:55","4/20/2021 12:10","4.052083333",NA,33.8105,1,"C. wallacei"
"FBR26",0,"FBR26","JU1873","wallacei","4/16/2021 10:55","4/20/2021 11:00","4.003472222",NA,17.4719,1,"C. wallacei"
"FBR27",0,"FBR27","JU1873","wallacei","4/16/2021 10:55","4/20/2021 12:10","4.052083333",NA,33.5364,1,"C. wallacei"
